"","keyid","title","start","end","language","country","duration","tooltip","l_color"
"20","AKaplaus","Aplaus : muusikaajakiri","2017-01-01","2021-01-01","Estonian","Estonia",4.0027397260274,"Aplaus : muusikaajakiri<br>From <b>2017-01-01</b> to <b>2021-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"21","AKaqva","Aqva : Hotel & Spa Magazine + in English","2017-01-01","2020-01-01","Estonian","Estonia",3,"Aqva : Hotel & Spa Magazine + in English<br>From <b>2017-01-01</b> to <b>2020-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"22","AKargake","Ärgake!","2017-02-01","2020-11-01","Estonian","Estonia",3.75068493150685,"Ärgake!<br>From <b>2017-02-01</b> to <b>2020-11-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"23","AKavastamaailma","Avasta Maailma : [rahvusvahelise õpilasvahetuse leht]","2017-06-01","2019-06-01","Estonian","Estonia",2,"Avasta Maailma : [rahvusvahelise õpilasvahetuse leht]<br>From <b>2017-06-01</b> to <b>2019-06-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"24","AKbuduaar","Buduaar","2017-01-01","2021-05-01","Estonian","Estonia",4.33150684931507,"Buduaar<br>From <b>2017-01-01</b> to <b>2021-05-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"25","AKbuduaarteen","Buduaar Teen : ajakiri lahedatele tüdrukutele","2017-01-01","2020-08-01","Estonian","Estonia",3.58356164383562,"Buduaar Teen : ajakiri lahedatele tüdrukutele<br>From <b>2017-01-01</b> to <b>2020-08-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"26","AKcofounder","CoFounder : [magazine]","2017-02-01","2019-02-01","English","Estonia",2,"CoFounder : [magazine]<br>From <b>2017-02-01</b> to <b>2019-02-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"27","AKdiabetes","Diabetes : Eesti Diabeediliidu ajakiri","2017-09-01","2021-11-01","Estonian","Estonia",4.16986301369863,"Diabetes : Eesti Diabeediliidu ajakiri<br>From <b>2017-09-01</b> to <b>2021-11-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"28","AKdigi","Digi","2017-01-01","2021-10-01","Estonian","Estonia",4.75068493150685,"Digi<br>From <b>2017-01-01</b> to <b>2021-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"29","AKeestiehitab","Eesti Ehitab : ... aprill ...","2017-04-03","2019-04-02","Estonian","Estonia",1.9972602739726,"Eesti Ehitab : ... aprill ...<br>From <b>2017-04-03</b> to <b>2019-04-02</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
