"","keyid","year","language","country","n"
"4771","lastelepostimeheli",1912,"Estonian","Estonia",11
"4772","lastelepostimeheli",1913,"Estonian","Estonia",11
"4773","lastelepostimeheli",1914,"Estonian","Estonia",11
"4774","lastelepostimeheli",1915,"Estonian","Estonia",11
"4775","lastelepostimeheli",1916,"Estonian","Estonia",11
"4776","lastelepostimeheli",1917,"Estonian","Estonia",11
"4777","lastelepostimeheli",1919,"Estonian","Estonia",11
"4778","lastelepostimeheli",1920,"Estonian","Estonia",11
"4779","lastelepostimeheli",1921,"Estonian","Estonia",11
"4780","lastelepostimeheli",1922,"Estonian","Estonia",11
"4781","lastelepostimeheli",1923,"Estonian","Estonia",11
"4782","lastelepostimeheli",1924,"Estonian","Estonia",11
"4783","lastelepostimeheli",1930,"Estonian","Estonia",11
"4784","lastelepostimeheli",1933,"Estonian","Estonia",11
"4785","lastelepostimeheli",1934,"Estonian","Estonia",11
"4786","lastelepostimeheli",1937,"Estonian","Estonia",11
"4787","lehtse",2005,"Estonian","Estonia",11
"4788","leole",2010,"Estonian","Estonia",11
"4789","leole",2014,"Estonian","Estonia",11
"4790","liivimaarus",1903,"Russian","Estonia",11
"4791","liiviranna",2018,"Estonian","Estonia",11
"4792","liiviranna",2019,"Estonian","Estonia",11
"4793","lohusuu",2011,"Estonian","Estonia",11
"4794","lohusuu",2012,"Estonian","Estonia",11
"4795","lohusuurus",2016,"Russian","Estonia",11
"4796","loksaelu",2018,"Estonian","Estonia",11
"4797","loksaelurus",2018,"Russian","Estonia",11
"4798","loksaelurus",2021,"Russian","Estonia",11
"4799","lounamulgimaa",2006,"Estonian","Estonia",11
"4800","lounamulgimaa",2008,"Estonian","Estonia",11
"4801","lounamulgimaa",2009,"Estonian","Estonia",11
"4802","lounamulgimaa",2010,"Estonian","Estonia",11
"4803","lounamulgimaa",2011,"Estonian","Estonia",11
"4804","lounamulgimaa",2012,"Estonian","Estonia",11
"4805","lounamulgimaa",2014,"Estonian","Estonia",11
"4806","lounamulgimaa",2016,"Estonian","Estonia",11
"4807","lounamulgimaa",2017,"Estonian","Estonia",11
"4808","luganuse",2008,"Estonian","Estonia",11
"4809","luganusevalla",2019,"Estonian","Estonia",11
"4810","luganusevalla",2020,"Estonian","Estonia",11
"4811","luganusevalla",2021,"Estonian","Estonia",11
"4812","luganusevallarus",2019,"Russian","Estonia",11
"4813","luganusevallarus",2020,"Russian","Estonia",11
"4814","luganusevallarus",2021,"Russian","Estonia",11
"4815","maardupanoraam",2011,"Estonian","Estonia",11
"4816","maardupanoraam",2012,"Estonian","Estonia",11
"4817","maardupanoraam",2013,"Estonian","Estonia",11
"4818","maardupanoraam",2014,"Estonian","Estonia",11
"4819","maardupanoraam",2015,"Estonian","Estonia",11
"4820","maardupanoraam",2016,"Estonian","Estonia",11
"4821","maardupanoraam",2017,"Estonian","Estonia",11
"4822","maardupanoraam",2018,"Estonian","Estonia",11
"4823","maardupanoraam",2019,"Estonian","Estonia",11
"4824","maardupanoraam",2020,"Estonian","Estonia",11
"4825","maardupanoraam",2021,"Estonian","Estonia",11
"4826","maardupanoraamrus",2014,"Russian","Estonia",11
"4827","maardupanoraamrus",2015,"Russian","Estonia",11
"4828","maardupanoraamrus",2016,"Russian","Estonia",11
"4829","maardupanoraamrus",2017,"Russian","Estonia",11
"4830","maardupanoraamrus",2018,"Russian","Estonia",11
"4831","maardupanoraamrus",2019,"Russian","Estonia",11
"4832","maardupanoraamrus",2020,"Russian","Estonia",11
"4833","maardupanoraamrus",2021,"Russian","Estonia",11
"4834","maaylikool",2013,"Estonian","Estonia",11
"4835","maetaguseelu",2012,"Estonian","Estonia",11
"4836","maetaguseelu",2014,"Estonian","Estonia",11
"4837","maetaguseelu",2015,"Estonian","Estonia",11
"4838","meiehaal",1931,"Estonian","Estonia",11
"4839","meiekodukunda",2015,"Estonian","Estonia",11
"4840","meiekodukunda",2016,"Estonian","Estonia",11
"4841","meiekodukundarus",2015,"Russian","Estonia",11
"4842","meiekodukundarus",2016,"Russian","Estonia",11
"4843","meiekodumaksa",2013,"Estonian","Estonia",11
"4844","meieleht",2018,"Estonian","Estonia",11
"4845","meieleht",2019,"Estonian","Estonia",11
"4846","meieleht",2020,"Estonian","Estonia",11
"4847","meieleht",2021,"Estonian","Estonia",11
"4848","meielehtrus",2018,"Russian","Estonia",11
"4849","meielehtrus",2019,"Russian","Estonia",11
"4850","meielehtrus",2020,"Russian","Estonia",11
"4851","meielehtrus",2021,"Russian","Estonia",11
"4852","meiereederus",2017,"Russian","Estonia",11
"4853","meievald",2010,"Estonian","Estonia",11
"4854","meievald",2011,"Estonian","Estonia",11
"4855","meievald",2012,"Estonian","Estonia",11
"4856","meievald",2013,"Estonian","Estonia",11
"4857","meievald",2015,"Estonian","Estonia",11
"4858","meievald",2016,"Estonian","Estonia",11
"4859","muhulane",2004,"Estonian","Estonia",11
"4860","muhulane",2009,"Estonian","Estonia",11
"4861","mulgisona",2018,"Estonian","Estonia",11
"4862","mulgisona",2019,"Estonian","Estonia",11
"4863","mulgisona",2020,"Estonian","Estonia",11
"4864","mulgisona",2021,"Estonian","Estonia",11
"4865","mustamaeleht",2014,"Estonian","Estonia",11
"4866","mustamaeleht",2017,"Estonian","Estonia",11
"4867","mustamaeleht",2018,"Estonian","Estonia",11
"4868","mustamaeleht",2019,"Estonian","Estonia",11
"4869","mustamaeleht",2020,"Estonian","Estonia",11
"4870","mustamaelehtvene",2014,"Russian","Estonia",11
"4871","mustamaelehtvene",2017,"Russian","Estonia",11
"4872","mustamaelehtvene",2018,"Russian","Estonia",11
"4873","mustamaelehtvene",2019,"Russian","Estonia",11
"4874","mustamaelehtvene",2020,"Russian","Estonia",11
"4875","mustveevalla",2019,"Estonian","Estonia",11
"4876","mustveevalla",2020,"Estonian","Estonia",11
"4877","mustveevalla",2021,"Estonian","Estonia",11
"4878","muurileht",2018,"Estonian","Estonia",11
"4879","muurileht",2019,"Estonian","Estonia",11
"4880","muurileht",2020,"Estonian","Estonia",11
"4881","nadalalopp",2022,"Estonian","Estonia",11
"4882","naestetoojaelu",1916,"Estonian","Estonia",11
"4883","narvajoesuu",2012,"Estonian","Estonia",11
"4884","nelliteataja",2022,"Estonian","Estonia",11
"4885","noarootsi",2006,"Estonian","Estonia",11
"4886","noarootsi",2007,"Estonian","Estonia",11
"4887","noarootsi",2008,"Estonian","Estonia",11
"4888","noarootsi",2015,"Estonian","Estonia",11
"4889","noarootsi",2016,"Estonian","Estonia",11
"4890","noovalla",2015,"Estonian","Estonia",11
"4891","noovalla",2016,"Estonian","Estonia",11
"4892","noovalla",2017,"Estonian","Estonia",11
"4893","noovalla",2019,"Estonian","Estonia",11
"4894","noovalla",2020,"Estonian","Estonia",11
"4895","noovalla",2021,"Estonian","Estonia",11
"4896","olevik",2015,"Estonian","Estonia",11
"4897","olevik",2016,"Estonian","Estonia",11
"4898","olevik",2017,"Estonian","Estonia",11
"4899","olevik",2019,"Estonian","Estonia",11
