"","keyid","year","language","country","n"
"1","paevalehtew",1934,"Estonian","Estonia",359
"2","paevalehtew",1935,"Estonian","Estonia",359
"3","deutschezeitungimostland",1942,"German","Latvia",358
"4","deutschezeitungimostland",1943,"German","Latvia",356
"5","paevalehtew",1932,"Estonian","Estonia",356
"6","paevalehtew",1928,"Estonian","Estonia",355
"7","paevalehtew",1931,"Estonian","Estonia",355
"8","paevalehtew",1933,"Estonian","Estonia",355
"9","postimeesew",1928,"Estonian","Estonia",355
"10","postimeesew",1934,"Estonian","Estonia",355
"11","postimeesew",1935,"Estonian","Estonia",355
"12","uuseesti",1939,"Estonian","Estonia",355
"13","paevalehtew",1926,"Estonian","Estonia",354
"14","paevalehtew",1930,"Estonian","Estonia",354
"15","paevalehtew",1937,"Estonian","Estonia",354
"16","paevalehtew",1939,"Estonian","Estonia",354
"17","postimeesew",1927,"Estonian","Estonia",354
"18","postimeesew",1929,"Estonian","Estonia",354
"19","postimeesew",1930,"Estonian","Estonia",354
"20","uuseesti",1937,"Estonian","Estonia",354
"21","uuseesti",1938,"Estonian","Estonia",354
"22","vestidnja",1927,"Russian","Estonia",354
"23","vestidnja",1929,"Russian","Estonia",354
"24","paevalehtew",1929,"Estonian","Estonia",353
"25","paevalehtew",1936,"Estonian","Estonia",353
"26","paevalehtew",1938,"Estonian","Estonia",353
"27","postimeesew",1925,"Estonian","Estonia",353
"28","postimeesew",1937,"Estonian","Estonia",353
"29","postimeesew",1938,"Estonian","Estonia",353
"30","uuseesti",1936,"Estonian","Estonia",353
"31","vestidnja",1928,"Russian","Estonia",353
"32","paevalehtew",1927,"Estonian","Estonia",352
"33","postimeesew",1924,"Estonian","Estonia",352
"34","postimeesew",1926,"Estonian","Estonia",352
"35","postimeesew",1931,"Estonian","Estonia",352
"36","postimeesew",1936,"Estonian","Estonia",352
"37","postimeesew",1939,"Estonian","Estonia",352
"38","vestidnja",1930,"Russian","Estonia",352
"39","kaja",1924,"Estonian","Estonia",350
"40","kaja",1923,"Estonian","Estonia",349
"41","paevalehtew",1923,"Estonian","Estonia",349
"42","postimeesew",1923,"Estonian","Estonia",349
"43","paevalehtew",1921,"Estonian","Estonia",348
"44","wabamaa",1921,"Estonian","Estonia",348
"45","vestidnja",1931,"Russian","Estonia",340
"46","poslednijaizvestija",1924,"Russian","Estonia",330
"47","paevalehtew",1925,"Estonian","Estonia",328
"48","poslednijaizvestija",1923,"Russian","Estonia",326
"49","sonumilehtsl",1998,"Estonian","Estonia",325
"50","paevalehtew",1922,"Estonian","Estonia",324
"51","kaja",1921,"Estonian","Estonia",316
"52","paevalehtew",1924,"Estonian","Estonia",316
"53","punavaelane",1943,"Estonian","Estonia",316
"54","punavaelane",1944,"Estonian","Estonia",316
"55","sonumilehtsl",1997,"Estonian","Estonia",316
"56","kaja",1925,"Estonian","Estonia",315
"57","kaja",1922,"Estonian","Estonia",312
"58","poslednijaizvestija",1921,"Russian","Estonia",311
"59","postimeesew",1922,"Estonian","Estonia",310
"60","vabamaaparnu",1929,"Estonian","Estonia",310
"61","poslednijaizvestija",1922,"Russian","Estonia",309
"62","juturaamatrahvale",1939,"Estonian","Estonia",307
"63","kaja",1928,"Estonian","Estonia",307
"64","kaja",1933,"Estonian","Estonia",307
"65","kaja",1934,"Estonian","Estonia",307
"66","postimeesew",1942,"Estonian","Estonia",307
"67","rahvalehtvabamaa",1939,"Estonian","Estonia",307
"68","wabamaa",1932,"Estonian","Estonia",307
"69","kaja",1932,"Estonian","Estonia",306
"70","postimeesew",1933,"Estonian","Estonia",306
"71","postimeesew",1945,"Estonian","Estonia",306
"72","vestidnja",1933,"Russian","Estonia",306
"73","wabamaa",1933,"Estonian","Estonia",306
"74","wabamaa",1934,"Estonian","Estonia",306
"75","wabamaa",1935,"Estonian","Estonia",306
"76","kaja",1927,"Estonian","Estonia",305
"77","kaja",1929,"Estonian","Estonia",305
"78","postimeesew",1932,"Estonian","Estonia",305
"79","revalschezeitung",1876,"Estonian","Estonia",305
"80","revalschezeitung",1884,"Estonian","Estonia",305
"81","vestidnja",1932,"Russian","Estonia",305
"82","wabamaa",1922,"Estonian","Estonia",305
"83","wabamaa",1926,"Estonian","Estonia",305
"84","wabamaa",1927,"Estonian","Estonia",305
"85","wabamaa",1931,"Estonian","Estonia",305
"86","estdagbladet",1960,"Estonian","Sweden",304
"87","estdagbladet",1966,"Estonian","Sweden",304
"88","kaja",1930,"Estonian","Estonia",304
"89","kaja",1931,"Estonian","Estonia",304
"90","revalschezeitung",1868,"Estonian","Estonia",304
"91","revalschezeitung",1873,"Estonian","Estonia",304
"92","revalschezeitung",1874,"Estonian","Estonia",304
"93","revalschezeitung",1879,"Estonian","Estonia",304
"94","sonumilehtsl",1996,"Estonian","Estonia",304
"95","stockholmstid",1948,"Estonian","Sweden",304
"96","stockholmstid",1955,"Estonian","Sweden",304
"97","vestidnja",1934,"Russian","Estonia",304
"98","wabamaa",1930,"Estonian","Estonia",304
"99","estdagbladet",1963,"Estonian","Sweden",303
"100","estdagbladet",1964,"Estonian","Sweden",303
"101","estdagbladet",1965,"Estonian","Sweden",303
"102","estdagbladet",1968,"Estonian","Sweden",303
"103","paevaleht",1994,"Estonian","Estonia",303
"104","pealinnateatajapl",1916,"Estonian","Russia",303
"105","revalschezeitung",1861,"Estonian","Estonia",303
"106","revalschezeitung",1862,"Estonian","Estonia",303
"107","revalschezeitung",1864,"Estonian","Estonia",303
"108","revalschezeitung",1865,"Estonian","Estonia",303
"109","revalschezeitung",1866,"Estonian","Estonia",303
"110","revalschezeitung",1867,"Estonian","Estonia",303
"111","revalschezeitung",1869,"Estonian","Estonia",303
"112","revalschezeitung",1870,"Estonian","Estonia",303
"113","revalschezeitung",1877,"Estonian","Estonia",303
"114","revalschezeitung",1880,"Estonian","Estonia",303
"115","revalschezeitung",1885,"Estonian","Estonia",303
"116","revalschezeitung",1886,"Estonian","Estonia",303
"117","revelskieizvestija",1908,"Russian","Estonia",303
"118","tallinnateataja",1921,"Estonian","Estonia",303
"119","vestidnja",1935,"Russian","Estonia",303
"120","estdagbladet",1961,"Estonian","Sweden",302
"121","estdagbladet",1967,"Estonian","Sweden",302
"122","estdagbladet",1970,"Estonian","Sweden",302
"123","kaja",1926,"Estonian","Estonia",302
"124","pealinnateatajapl",1915,"Estonian","Russia",302
"125","postimeesew",1921,"Estonian","Estonia",302
"126","revalerzeitung",1943,"German","Estonia",302
"127","revalschezeitung",1863,"Estonian","Estonia",302
"128","revalschezeitung",1871,"Estonian","Estonia",302
"129","revalschezeitung",1875,"Estonian","Estonia",302
"130","revalschezeitung",1878,"Estonian","Estonia",302
"131","revalschezeitung",1883,"Estonian","Estonia",302
"132","revelskieizvestija",1910,"Russian","Estonia",302
"133","sonumilehtsl",1999,"Estonian","Estonia",302
"134","stockholmstid",1957,"Estonian","Sweden",302
"135","stockholmstid",1958,"Estonian","Sweden",302
"136","vabamaaparnu",1931,"Estonian","Estonia",302
"137","wabamaa",1925,"Estonian","Estonia",302
"138","wabamaa",1929,"Estonian","Estonia",302
"139","dorpaterzeitung",1932,"German","Estonia",301
"140","eestisona",1942,"Estonian","Germany",301
"141","eestisona",1943,"Estonian","Germany",301
"142","estdagbladet",1962,"Estonian","Sweden",301
"143","paevalehtew",1910,"Estonian","Estonia",301
"144","paevalehtew",1911,"Estonian","Estonia",301
"145","parnupaevaleht",1929,"Estonian","Estonia",301
"146","postimeesew",1912,"Estonian","Estonia",301
"147","postimeesew",1915,"Estonian","Estonia",301
"148","postimeesew",1920,"Estonian","Estonia",301
"149","postimeesparnuva",1923,"Estonian","Estonia",301
"150","postimeesparnuva",1929,"Estonian","Estonia",301
"151","postrahvatoelinehaal",1994,"Estonian","Estonia",301
"152","revalschezeitung",1872,"Estonian","Estonia",301
"153","revalschezeitung",1881,"Estonian","Estonia",301
"154","revelskieizvestija",1909,"Russian","Estonia",301
"155","revelskieizvestija",1915,"Russian","Estonia",301
"156","sonumed",1932,"Estonian","Estonia",301
"157","stockholmstid",1956,"Estonian","Sweden",301
"158","tallinnateataja",1915,"Estonian","Estonia",301
"159","vabamaaparnu",1927,"Estonian","Estonia",301
"160","vabamaaparnu",1928,"Estonian","Estonia",301
"161","vabamaaparnu",1930,"Estonian","Estonia",301
"162","wabamaa",1924,"Estonian","Estonia",301
"163","wabamaa",1928,"Estonian","Estonia",301
"164","wabamaa",1937,"Estonian","Estonia",301
"165","dorpaterzeitung",1927,"German","Estonia",300
"166","dorpaterzeitung",1928,"German","Estonia",300
"167","dorpaterzeitung",1929,"German","Estonia",300
"168","parnupaevaleht",1927,"Estonian","Estonia",300
"169","parnupaevaleht",1930,"Estonian","Estonia",300
"170","parnupaevaleht",1935,"Estonian","Estonia",300
"171","parnupaevaleht",1936,"Estonian","Estonia",300
"172","poslednijaizvestija",1925,"Russian","Estonia",300
"173","postimeesew",1916,"Estonian","Estonia",300
"174","postimeesew",1943,"Estonian","Estonia",300
"175","rahvasona",1928,"Estonian","Estonia",300
"176","revalerboteeinzige",1924,"German","Estonia",300
"177","revelskieizvestija",1906,"Russian","Estonia",300
"178","revelskieizvestija",1916,"Russian","Estonia",300
"179","stockholmstid",1950,"Estonian","Sweden",300
"180","stockholmstid",1954,"Estonian","Sweden",300
"181","tallinnateataja",1916,"Estonian","Estonia",300
"182","wabamaa",1920,"Estonian","Estonia",300
"183","deutschezeitung",1935,"German","Estonia",299
"184","deutschezeitung",1936,"German","Estonia",299
"185","deutschezeitung",1937,"German","Estonia",299
"186","dorpaterzeitung",1926,"German","Estonia",299
"187","dorpaterzeitung",1931,"German","Estonia",299
"188","edasivene",1925,"Estonian","Russia",299
"189","isamaa",1908,"Estonian","Estonia",299
"190","narvapostimees",1928,"Estonian","Estonia",299
"191","paevaleht",1991,"Estonian","Estonia",299
"192","paevaleht",1993,"Estonian","Estonia",299
"193","paevalehtew",1912,"Estonian","Estonia",299
"194","paevalehtew",1913,"Estonian","Estonia",299
"195","paevalehtew",1915,"Estonian","Estonia",299
"196","parnupaevaleht",1931,"Estonian","Estonia",299
"197","parnupaevaleht",1937,"Estonian","Estonia",299
"198","postimeesew",1909,"Estonian","Estonia",299
"199","postimeesparnuva",1921,"Estonian","Estonia",299
"200","postimeesparnuva",1924,"Estonian","Estonia",299
"201","postimeesparnuva",1926,"Estonian","Estonia",299
"202","revalerboteeinzige",1928,"German","Estonia",299
"203","revalerzeitung",1942,"German","Estonia",299
"204","stockholmstid",1951,"Estonian","Sweden",299
"205","vestidnja",1938,"Russian","Estonia",299
"206","wabamaa",1923,"Estonian","Estonia",299
"207","wirulaneuus",1909,"Estonian","Estonia",299
"208","wirulaneuus",1910,"Estonian","Estonia",299
"209","dorpaterzeitung",1930,"German","Estonia",298
"210","dorpaterzeitung",1933,"German","Estonia",298
"211","paevalehtew",1908,"Estonian","Estonia",298
"212","paevalehtew",1909,"Estonian","Estonia",298
"213","paevalehtew",1914,"Estonian","Estonia",298
"214","paevalehtew",1920,"Estonian","Estonia",298
"215","parnupaevaleht",1928,"Estonian","Estonia",298
"216","parnupaevaleht",1932,"Estonian","Estonia",298
"217","postimeesew",1911,"Estonian","Estonia",298
"218","postimeesew",1913,"Estonian","Estonia",298
"219","postimeesparnuva",1927,"Estonian","Estonia",298
"220","revalerboteeinzige",1923,"German","Estonia",298
"221","revalerboteeinzige",1925,"German","Estonia",298
"222","revelskieizvestija",1904,"Russian","Estonia",298
"223","revelskieizvestija",1907,"Russian","Estonia",298
"224","stockholmstid",1947,"Estonian","Sweden",298
"225","stockholmstid",1949,"Estonian","Sweden",298
"226","stockholmstid",1952,"Estonian","Sweden",298
"227","uepu",1937,"Estonian","Estonia",298
"228","uusleht",1915,"Estonian","Estonia",298
"229","vestidnja",1936,"Russian","Estonia",298
"230","vestidnja",1937,"Russian","Estonia",298
"231","deutschezeitung",1938,"German","Estonia",297
"232","parnupaevaleht",1938,"Estonian","Estonia",297
"233","postimeesparnuva",1916,"Estonian","Estonia",297
"234","rahvasona",1929,"Estonian","Estonia",297
"235","rahvasona",1932,"Estonian","Estonia",297
"236","revalerboteeinzige",1926,"German","Estonia",297
"237","revalerboteeinzige",1927,"German","Estonia",297
"238","stockholmstid",1953,"Estonian","Sweden",297
"239","tallinnateataja",1914,"Estonian","Estonia",297
"240","uepu",1938,"Estonian","Estonia",297
"241","vabamaaparnu",1932,"Estonian","Estonia",297
"242","vabamaaparnu",1934,"Estonian","Estonia",297
"243","vestidnja",1939,"Russian","Estonia",297
"244","wabamaa",1936,"Estonian","Estonia",297
"245","paevalehtew",1907,"Estonian","Estonia",296
"246","parnupaevaleht",1934,"Estonian","Estonia",296
"247","postimeesew",1910,"Estonian","Estonia",296
"248","revelskieizvestija",1901,"Russian","Estonia",296
"249","tallinnateataja",1920,"Estonian","Estonia",296
"250","vabamaaparnu",1933,"Estonian","Estonia",296
"251","paevalehtew",1916,"Estonian","Estonia",295
"252","postimeesparnuva",1911,"Estonian","Estonia",295
"253","postimeesparnuva",1928,"Estonian","Estonia",295
"254","postrahvatoelinehaal",1995,"Estonian","Estonia",295
"255","rahvasona",1931,"Estonian","Estonia",295
"256","rahvasonaparnu",1929,"Estonian","Estonia",295
"257","revalerboteeinzige",1921,"German","Estonia",295
"258","revelskieizvestija",1895,"Russian","Estonia",295
"259","tallinnateataja",1912,"Estonian","Estonia",295
"260","tallinnateataja",1913,"Estonian","Estonia",295
"261","uenu",1939,"Estonian","Estonia",295
"262","parnupaevaleht",1933,"Estonian","Estonia",294
"263","parnupaevaleht",1939,"Estonian","Estonia",294
"264","postimeesew",1892,"Estonian","Estonia",294
"265","postimeesew",1893,"Estonian","Estonia",294
"266","postimeesew",1906,"Estonian","Estonia",294
"267","postimeesparnuva",1909,"Estonian","Estonia",294
"268","postimeesparnuva",1922,"Estonian","Estonia",294
"269","postimeesparnuva",1925,"Estonian","Estonia",294
"270","revelskieizvestija",1893,"Russian","Estonia",294
"271","revelskieizvestija",1900,"Russian","Estonia",294
"272","revelskieizvestija",1902,"Russian","Estonia",294
"273","revelskieizvestija",1911,"Russian","Estonia",294
"274","teatajapats",1904,"Estonian","Estonia",294
"275","uenu",1937,"Estonian","Estonia",294
"276","uenu",1938,"Estonian","Estonia",294
"277","vabamaaparnu",1935,"Estonian","Estonia",294
"278","edasivene",1919,"Estonian","Russia",293
"279","postimeesew",1904,"Estonian","Estonia",293
"280","postimeesparnuva",1906,"Estonian","Estonia",293
"281","postimeesparnuva",1910,"Estonian","Estonia",293
"282","rahvasona",1930,"Estonian","Estonia",293
"283","revalerboteeinzige",1922,"German","Estonia",293
"284","revelskieizvestija",1899,"Russian","Estonia",293
"285","revelskieizvestija",1903,"Russian","Estonia",293
"286","isamaa",1909,"Estonian","Estonia",292
"287","postimeesew",1914,"Estonian","Estonia",292
"288","revelskieizvestija",1894,"Russian","Estonia",292
"289","revelskieizvestija",1898,"Russian","Estonia",292
"290","revelskieizvestija",1914,"Russian","Estonia",292
"291","uepu",1939,"Estonian","Estonia",292
"292","edasivene",1920,"Estonian","Russia",291
"293","edasivene",1924,"Estonian","Russia",291
"294","postimeesew",1898,"Estonian","Estonia",291
"295","postimeesew",1900,"Estonian","Estonia",291
"296","postimeesew",1901,"Estonian","Estonia",291
"297","meiemaa",2014,"Estonian","Estonia",290
"298","postimeesew",1895,"Estonian","Estonia",290
"299","postimeesew",1897,"Estonian","Estonia",290
"300","postimeesew",1899,"Estonian","Estonia",290
"301","postimeesparnuva",1917,"Estonian","Estonia",290
"302","revelskieizvestija",1896,"Russian","Estonia",290
"303","revelskieizvestija",1905,"Russian","Estonia",290
"304","uusleht",1916,"Estonian","Estonia",290
"305","eestipaevaleht",2011,"Estonian","Estonia",289
"306","eestipaevaleht",2012,"Estonian","Estonia",289
"307","narvapostimees",1929,"Estonian","Estonia",289
"308","paevalehtew",1906,"Estonian","Estonia",289
"309","postimeesew",1902,"Estonian","Estonia",289
"310","postimeesew",1903,"Estonian","Estonia",289
"311","revelskieizvestija",1897,"Russian","Estonia",289
"312","revelskieizvestija",1913,"Russian","Estonia",289
"313","teatajapats",1902,"Estonian","Estonia",289
"314","postimeesew",1905,"Estonian","Estonia",288
"315","teatajapats",1903,"Estonian","Estonia",288
"316","eestipaevaleht",2010,"Estonian","Estonia",287
"317","postimeesew",1894,"Estonian","Estonia",287
"318","postimeesew",1919,"Estonian","Estonia",287
"319","wabamaa",1919,"Estonian","Estonia",287
"320","paevalehtew",1919,"Estonian","Estonia",286
"321","tallinnateataja",1919,"Estonian","Estonia",286
"322","vabamaaparnu",1922,"Estonian","Estonia",286
"323","sotsialdemokratesu",1919,"Estonian","Estonia",285
"324","postimeesew",1896,"Estonian","Estonia",284
"325","postimeesparnuva",1920,"Estonian","Estonia",284
"326","revelskieizvestija",1912,"Russian","Estonia",284
"327","dorpaterzeitung",1919,"German","Estonia",283
"328","edasivene",1923,"Estonian","Russia",283
"329","edasivene",1932,"Estonian","Russia",283
"330","paevalehtew",1917,"Estonian","Estonia",283
"331","edasivene",1922,"Estonian","Russia",282
"332","paevaleht",1992,"Estonian","Estonia",282
"333","eluparnu",1908,"Estonian","Estonia",279
"334","tallinnateataja",1911,"Estonian","Estonia",279
"335","tallinnateataja",1917,"Estonian","Estonia",279
"336","paevaleht",1990,"Estonian","Estonia",276
"337","postimeesparnuva",1919,"Estonian","Estonia",276
"338","dorpaterzeitung",1925,"German","Estonia",274
"339","kaja",1920,"Estonian","Estonia",274
"340","omasaar",2008,"Estonian","Estonia",270
"341","postimeeshommiku",1920,"Estonian","Estonia",269
"342","sotsialdemokratesu",1920,"Estonian","Estonia",269
"343","vabamaaparnu",1921,"Estonian","Estonia",269
"344","vabasona",1934,"Estonian","Estonia",269
"345","revalerbote",1920,"German","Estonia",267
"346","revalerboteeinzige",1920,"German","Estonia",267
"347","teatajapats",1905,"Estonian","Estonia",267
"348","tallinnateataja",1910,"Estonian","Estonia",265
"349","uussona",1935,"Estonian","Estonia",265
"350","omasaar",2009,"Estonian","Estonia",264
"351","postimeesew",1917,"Estonian","Estonia",264
"352","edasivene",1921,"Estonian","Russia",261
"353","sonumed",1931,"Estonian","Estonia",261
"354","postimeesew",1940,"Estonian","Estonia",260
"355","vabamaaparnu",1923,"Estonian","Estonia",259
"356","vabamaaparnu",1926,"Estonian","Estonia",258
"357","rajalane",1920,"Estonian","Estonia",257
"358","revelskojeslovo",1917,"Russian","Estonia",257
"359","postimeesparnuva",1912,"Estonian","Estonia",255
"360","parnupostimees",2008,"Estonian","Estonia",254
"361","parnupostimees",2017,"Estonian","Estonia",254
"362","parnupostimees",2018,"Estonian","Estonia",254
"363","rahvasona",1927,"Estonian","Estonia",254
"364","sakala",2017,"Estonian","Estonia",254
"365","virumaateataja",2017,"Estonian","Estonia",254
"366","parnupostimees",2012,"Estonian","Estonia",253
"367","parnupostimees",2016,"Estonian","Estonia",253
"368","sakala",2012,"Estonian","Estonia",253
"369","sakala",2018,"Estonian","Estonia",253
"370","virumaateataja",2018,"Estonian","Estonia",253
"371","eestipaevaleht",2013,"Estonian","Estonia",252
"372","oigus",1908,"Estonian","Estonia",252
"373","parnupostimees",2011,"Estonian","Estonia",252
"374","parnupostimees",2013,"Estonian","Estonia",252
"375","sakala",2006,"Estonian","Estonia",252
"376","sakala",2007,"Estonian","Estonia",252
"377","sakala",2008,"Estonian","Estonia",252
"378","sakala",2013,"Estonian","Estonia",252
"379","sakala",2016,"Estonian","Estonia",252
"380","uudisleht",1939,"Estonian","Estonia",252
"381","virumaateataja",2012,"Estonian","Estonia",252
"382","virumaateataja",2013,"Estonian","Estonia",252
"383","virumaateataja",2016,"Estonian","Estonia",252
"384","dorpaterzeitung",1918,"German","Estonia",251
"385","parnupostimees",2009,"Estonian","Estonia",251
"386","parnupostimees",2014,"Estonian","Estonia",251
"387","parnupostimees",2019,"Estonian","Estonia",251
"388","rahvalehtvabamaa",1938,"Estonian","Estonia",251
"389","sakala",2004,"Estonian","Estonia",251
"390","sakala",2019,"Estonian","Estonia",251
"391","vabamaaparnu",1925,"Estonian","Estonia",251
"392","virumaateataja",2019,"Estonian","Estonia",251
"393","eestipaevaleht",2014,"Estonian","Estonia",250
"394","juturaamatrahvale",1938,"Estonian","Estonia",250
"395","parnupostimees",2020,"Estonian","Estonia",250
"396","parnupostimees",2021,"Estonian","Estonia",250
"397","sakala",2009,"Estonian","Estonia",250
"398","sakala",2010,"Estonian","Estonia",250
"399","sakala",2020,"Estonian","Estonia",250
"400","sakala",2021,"Estonian","Estonia",250
"401","virumaateataja",2010,"Estonian","Estonia",250
"402","virumaateataja",2014,"Estonian","Estonia",250
"403","virumaateataja",2020,"Estonian","Estonia",250
"404","virumaateataja",2021,"Estonian","Estonia",250
"405","parnupostimees",2010,"Estonian","Estonia",249
"406","parnupostimees",2015,"Estonian","Estonia",249
"407","sakala",2014,"Estonian","Estonia",249
"408","sakala",2015,"Estonian","Estonia",249
"409","vabamaaparnu",1936,"Estonian","Estonia",249
"410","virumaateataja",2009,"Estonian","Estonia",249
"411","virumaateataja",2015,"Estonian","Estonia",249
"412","pohjarannik",2012,"Estonian","Estonia",248
"413","severnojepob",2012,"Russian","Estonia",248
"414","vabamaaparnu",1924,"Estonian","Estonia",248
"415","virumaateataja",2011,"Estonian","Estonia",248
"416","parnupostimees",2007,"Estonian","Estonia",247
"417","sakala",2011,"Estonian","Estonia",247
"418","severnojepob",2010,"Russian","Estonia",247
"419","virumaateataja",2008,"Estonian","Estonia",247
"420","deutschezeitung",1939,"German","Estonia",246
"421","pohjarannik",2011,"Estonian","Estonia",246
"422","severnojepob",2009,"Russian","Estonia",245
"423","pohjarannik",2009,"Estonian","Estonia",244
"424","pohjarannik",2010,"Estonian","Estonia",244
"425","punavaelane",1942,"Estonian","Estonia",244
"426","poslednijaizvestija",1926,"Russian","Estonia",242
"427","postimeesew",1918,"Estonian","Estonia",242
"428","severnojepob",2011,"Russian","Estonia",242
"429","aripaev",2015,"Estonian","Estonia",238
"430","aripaev",2013,"Estonian","Estonia",237
"431","aripaev",2014,"Estonian","Estonia",237
"432","aripaev",2016,"Estonian","Estonia",237
"433","aripaev",2012,"Estonian","Estonia",236
"434","aripaev",2017,"Estonian","Estonia",236
"435","nashagaseta",1927,"Russian","Estonia",236
"436","pohjarannik",2013,"Estonian","Estonia",236
"437","aripaev",2010,"Estonian","Estonia",234
"438","aripaev",2018,"Estonian","Estonia",234
"439","eestisona",1944,"Estonian","Germany",234
"440","maaliit",1919,"Estonian","Estonia",234
"441","aripaev",2011,"Estonian","Estonia",233
"442","severnojepob",2013,"Russian","Estonia",233
"443","tooljasojavnoukteat",1917,"Russian","Estonia",233
"444","aripaev",2019,"Estonian","Estonia",232
"445","tlnteatajajutuli",1910,"Estonian","Estonia",231
"446","estdagbladet",1959,"Estonian","Sweden",230
"447","uudisleht",1934,"Estonian","Estonia",230
"448","aripaev",2009,"Estonian","Estonia",229
"449","deutschezeitungimostland",1944,"German","Latvia",229
"450","pohjarannik",2015,"Estonian","Estonia",229
"451","severnojepob",2014,"Russian","Estonia",228
"452","severnojepob",2015,"Russian","Estonia",227
"453","sakala",2005,"Estonian","Estonia",226
"454","pohjarannik",2016,"Estonian","Estonia",224
"455","estdagbladet",1969,"Estonian","Sweden",223
"456","severnojepob",2016,"Russian","Estonia",223
"457","pohjarannik",2014,"Estonian","Estonia",222
"458","walgus",1906,"Estonian","Estonia",221
"459","pohjarannik",2017,"Estonian","Estonia",220
"460","revalerzeitung",1944,"German","Estonia",220
"461","severnojepob",2017,"Russian","Estonia",220
"462","kaja",1935,"Estonian","Estonia",219
"463","rahvalehtvabamaa",1940,"Estonian","Estonia",218
"464","rahvasonaparnu",1930,"Estonian","Estonia",218
"465","uudisleht",1936,"Estonian","Estonia",218
"466","uudisleht",1933,"Estonian","Estonia",217
"467","uudisleht",1937,"Estonian","Estonia",217
"468","meieaasta",1915,"Estonian","Estonia",214
"469","uusleht",1917,"Estonian","Estonia",211
"470","postimeesew",1891,"Estonian","Estonia",210
"471","sonumed",1933,"Estonian","Estonia",208
"472","elutartu",1908,"Estonian","Estonia",207
"473","postimeesew",1944,"Estonian","Estonia",207
"474","uudisleht",1940,"Estonian","Estonia",207
"475","punavaelane",1945,"Estonian","Estonia",204
"476","sakalaew",1942,"Estonian","Estonia",203
"477","postimeesparnuva",1918,"Estonian","Estonia",202
"478","uudisleht",1938,"Estonian","Estonia",202
"479","meiemaaew",1938,"Estonian","Estonia",201
"480","uudisleht",1935,"Estonian","Estonia",201
"481","meiemaaew",1939,"Estonian","Estonia",199
"482","sakalaew",1943,"Estonian","Estonia",199
"483","edasivene",1933,"Estonian","Russia",198
"484","koitepl",1912,"Estonian","Estonia",198
"485","paevalehtew",1940,"Estonian","Estonia",197
"486","pohjarannik",2008,"Estonian","Estonia",192
"487","eestipaevaleht",2009,"Estonian","Estonia",191
"488","maaliit",1918,"Estonian","Estonia",191
"489","severnojepob",2008,"Russian","Estonia",191
"490","revalerboteeinzige",1929,"German","Estonia",190
"491","pohjarannik",2018,"Estonian","Estonia",189
"492","severnojepob",2018,"Russian","Estonia",189
"493","uusleht",1914,"Estonian","Estonia",189
"494","uenu",1936,"Estonian","Estonia",185
"495","uepu",1936,"Estonian","Estonia",185
"496","linnalehttvene",2007,"Russian","Estonia",183
"497","linnalehtt",2007,"Estonian","Estonia",182
"498","meiemaaew",1937,"Estonian","Estonia",179
"499","postrahvatoelinehaal",1996,"Estonian","Estonia",179
"500","juturaamatrahvale",1940,"Estonian","Estonia",178
"501","revelskiigorodskoi",1892,"Russian","Estonia",178
"502","edasivene",1936,"Estonian","Russia",173
"503","eestipaevaleht",1995,"Estonian","Estonia",173
"504","linnalehtt",2008,"Estonian","Estonia",173
"505","linnalehttrt",2008,"Estonian","Estonia",173
"506","linnalehttvene",2008,"Russian","Estonia",173
"507","pernausche",1918,"German","Estonia",170
"508","edasivene",1931,"Estonian","Russia",169
"509","edasivene",1937,"Estonian","Russia",169
"510","uudisljutuli",1939,"Estonian","Estonia",167
"511","parnupaevaleht",1940,"Estonian","Estonia",166
"512","virulane",1932,"Estonian","Estonia",166
"513","uuseesti",1940,"Estonian","Estonia",164
"514","postrahvatoelinehaal",1993,"Estonian","Estonia",162
"515","sakalaew",1925,"Estonian","Estonia",161
"516","svabodnojeslovo",1921,"Russian","Estonia",161
"517","aripaev",2008,"Estonian","Estonia",160
"518","edasivene",1926,"Estonian","Russia",160
"519","revalschezeitung",1882,"Estonian","Estonia",159
"520","hommikleht",1934,"Estonian","Estonia",157
"521","sakalaew",1926,"Estonian","Estonia",157
"522","harjueluensv",1952,"Estonian","Estonia",156
"523","harjueluensv",1955,"Estonian","Estonia",156
"524","harjueluensv",1956,"Estonian","Estonia",156
"525","laanlaneekbp",1948,"Estonian","Estonia",156
"526","omamaa",1928,"Estonian","Estonia",156
"527","omamaa",1938,"Estonian","Estonia",156
"528","revalschezeitung",1860,"Estonian","Estonia",156
"529","sakalaew",1928,"Estonian","Estonia",156
"530","stalinlikulteel",1951,"Estonian","Estonia",156
"531","stalinlikulteel",1952,"Estonian","Estonia",156
"532","stalinlikulteel",1953,"Estonian","Estonia",156
"533","stalinlikulteel",1955,"Estonian","Estonia",156
"534","uudisljutuli",1934,"Estonian","Estonia",156
"535","voitlevsona",1960,"Estonian","Estonia",156
"536","bolshevistlikekolhooside",1952,"Estonian","Estonia",155
"537","harjueluensv",1946,"Estonian","Estonia",155
"538","harjueluensv",1950,"Estonian","Estonia",155
"539","harjueluensv",1954,"Estonian","Estonia",155
"540","harjueluensv",1960,"Estonian","Estonia",155
"541","kaevur",1955,"Estonian","Estonia",155
"542","kaevur",1956,"Estonian","Estonia",155
"543","kiirpoltsamaa",1952,"Estonian","Estonia",155
